importance,+
author,John O Doherty
title,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices
table_name,Table 1-2-a - Effects of valence of outcome - Choice task - punishment > reward
keywords,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; negative reward
Name,Left/Right,X(R),Y(A),Z(S),z-score
Anterior insular cortex,R,42,27,0,3.15
Lateral prefrontal cortex,R,51,24,0,4.19
