importance,++
author,Glascher et al
title,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making
table_name,
keywords,fMRI; decision making; monetary reward; MNI; reinforcement learning; reversal learning; task switching
