importance,+
author,Hauser et al
title,Role of the Medial Prefrontal Cortex in Impaired Decision Making in Juvenile Attention-Deficit-Hyperactivity Disorder
table_name,
keywords,fMRI; outcome phase; decision making; monetary reward; MNI; reversal learning; task switching
