importance,+
author,Smith et al
title,Distinct Value Signals in Anterior and Posterior Ventromedial Prefrontal Cortex
table_name,Table S5 - Regions whose activation increases with increasing monetary reward size
contrast,monetary reward magnitude
keywords,fMRI;reward magnitude; reward value; outcome phase; decision making; monetary reward; MNI; passive
X(R),Y(A),Z(S),Name,Broadman Area,z-score,cluster size,subjects
0,68,-2,Medial Frontal Gyrus,10,3.38,596,23
12,60,0,Medial Frontal Gyrus,10,3.13,596,23
8,68,0,Superior Frontal Gyrus,10,3.06,596,23
-6,72,-4,Medial Frontal Gyrus,10,3.02,596,23
4,52,-10,Medial Frontal Gyrus,10,2.94,596,23
