importance,+
author,John O Doherty
title,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices
table_name,Table 3-1-b - Comparison between choice and imperative tasks - Choice-imperative: effects of response maintenance
contrast,response maintenance > response switch
keywords,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response maintenance
Name,Left/Right,X(R),Y(A),Z(S),z-score,subjects
Medial OFC,R,3,27,-12,3.27,15
Central OFC,R,24,36,-6,4.26,15
