importance,+
author,Delgado et al
title,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum
table_name,Table 1 - Main effect of time - Decreasing activation
contrast,-
keywords,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation
Name,Broadman Area,Left/Right,X(R),Y(A),Z(S),p value,subjects
Superior frontal gyrus,9,R,10,47,36,0.0001,9
Superior frontal gyrus,9,L,-11,46,36,0.0001,9
Posterior cingulate,31,L,-6,-34,39,0.0001,9
Precuneus,7,L,-3,-57,32,0.0001,9
Insula,,R,38,-14,16,0.0001,9
Superior temporal gyrus,42,R,38,-23,7,0.0001,9
Superior temporal gyrus,22/21,L,-55,-16,1,0.0001,9
