Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
9	441	2.33	41	75	54	44.5	73.3	58.9
8	419	2.33	63	34	55	63.8	36.6	59.1
7	296	2.33	64	87	32	63.7	88.6	38.7
6	250	2.33	61	74	30	60.8	74.2	36.2
5	246	2.33	29	64	60	29.2	65.1	63.5
4	245	2.33	60	62	59	58.5	64.1	63.2
3	181	2.33	67	68	46	68.3	66.4	49.6
2	157	2.33	24	37	56	22.6	39.8	58
1	152	2.33	55	28	55	56.1	29.7	58
