importance,+
author,Nobre et al
title,Orienting Attention to Locations in Perceptual Versus Mental Representations
table_name,Table 2-1 Differential Brain Activations to Precues and Retrocues
contrast,precue > retrocue
keywords,fMRI; working memory; decision making; talairach; visual spatial; precue
Left/Right,Name,X(R),Y(A),Z(S),z-score,cluster size,subjects
R,IPTO (posterior angular gyrus),33,-87,15,4.24,62,10
R,IPTO (posterior angular gyrus),33,-78,15,3.90,62,10
R,IPTO (posterior angular gyrus),39,-72,18,3.87,62,10
