Cluster Index	Voxels	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)
11	441	2.33	8	24	36	1.07	20.6	45.9
10	419	2.33	-36	-58	38	-37.6	-52.7	46.3
9	296	2.33	-38	48	-8	-37.4	51.1	5.31
8	250	2.33	-32	22	-12	-31.7	22.5	0.312
7	246	2.33	32	2	48	31.6	4.18	55.1
6	245	2.33	-30	-2	46	-27	2.13	54.5
5	181	2.33	-44	10	20	-46.6	6.87	27.1
4	157	2.33	42	-52	40	44.7	-46.5	44
3	152	2.33	-20	-70	38	-22.3	-66.6	44
2	94	1.64	42	44	16	39.1	42.1	23.7
1	91	1.64	24	-68	46	20.7	-67.9	53.3
