Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
11	441	2.33	41	75	54	44.5	73.3	58.9
10	419	2.33	63	34	55	63.8	36.6	59.1
9	296	2.33	64	87	32	63.7	88.6	38.7
8	250	2.33	61	74	30	60.8	74.2	36.2
7	246	2.33	29	64	60	29.2	65.1	63.5
6	245	2.33	60	62	59	58.5	64.1	63.2
5	181	2.33	67	68	46	68.3	66.4	49.6
4	157	2.33	24	37	56	22.6	39.8	58
3	152	2.33	55	28	55	56.1	29.7	58
2	94	1.64	24	85	44	25.4	84.1	47.9
1	91	1.64	33	29	59	34.6	29.1	62.6
