importance,+
author,John O Doherty
title,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices
table_name,Table 2-2 - Effects of response selection - response switch > response maintenance
contrast,response switch > response maintenance
keywords,fMRI; reward value; outcome phase; monetary reward; MNI; response switching
Name,Left/Right,X(R),Y(A),Z(S),z-score,subjects
Anterior insula-caudolateral OFC,R,36,27,-9,3.78,15
Dorsal anterior cingulate cortex,L,-3,21,42,4.58,15
Dorsal anterior cingulate cortex,R,3,33,36,4.71,15
Para-cingulate cortex,L,-6,12,51,5.05,15
