importance,+
author,Tobler et al
title,Reward Value Coding Distinct From Risk Attitude-Related Uncertainty Coding in Human Reward Systems
table_name,Table 2-1 - Areas more strongly activated by stimuli associated with larger reward magnitude
contrast,high reward > low reward
keywords,fMRI; reward magnitude;decision making; anticipation phase; monetary reward; MNI
Name,Left/Right,X(R),Y(A),Z(S),z-score,subjects
Striatum (caudate),Left,-12,2,6,3.5,16
Striatum (posterior putamen),Right,18,-6,2,4.1,16
Medial prefrontal cortex,Right,12,36,36,3.4,16
Lateral prefrontal cortex,Right,50,16,6,4.3,16
