importance,++
author,Taylor et al
title,A functional neuroimaging study of motivation and executive function
table_name,Table 3-2 - Activation foci for the DELAY(anticipation phase) event - reward
contrast,-
keywords,fMRI; reward value; anticipation phase; monetary reward; MNI; n-back task; visual shape
Left/Right,Name,Broadman Area,cluster size,X(R),Y(A),Z(S),z-score,subjects
R,superior frontal sulcus and middle frontal g,6/8,47,36,-2,60,4.15,12
R,,39,34,28,-58,36,4.27,12
L,,39,119,-32,-52,28,4.38,12
L,,39,119,-24,-58,38,3.79,12
L,,39,119,-16,-54,44,3.67,12
L,superior parietal lobe,7,85,-18,-66,68,4.10,12
