importance,+
author,Akitsuki et al
title,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study
table_name,Table 2 - Brain activities for Win 1 versus Lose 1
contrast,W! > L1
keywords,fMRI; outcome phase; decision making; monetary reward; talairach; gambling;positive reward
Left/Right,Name,NV,X(R),Y(A),Z(S),t,subjects
R,Ventral striatum,400,24,0,-8,8.67,36
L,Ventral striatum,88,-26,-2,-12,8.61,36
R,Lingual gyrus,10028,16,-68,-12,9.47,36
L,Lingual gyrus,,-16,-86,-2,10.63,36
R,Inferior temporal gyrus,,40,-78,-12,8.99,36
L,Inferior temporal gyrus,,-42,-62,-12,9.88,36
R,Posterior lobe of cerebellum,,-10,-72,-20,9.45,36
L,Posterior lobe of cerebellum,,-34,-64,-32,8.52,36
