Cluster Index	Voxels	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)
11	560	2.33	10	20	36	1.69	19.2	46.1
10	430	2.33	-34	-62	36	-37.7	-52.9	46.2
9	318	2.33	-30	0	44	-27.7	2.23	53.1
8	272	2.33	-32	20	-12	-31.2	22.6	-1.33
7	233	2.33	36	0	50	31.3	5.18	54.4
6	206	2.33	-38	50	-8	-36.7	51.5	5.6
5	173	2.33	-46	4	22	-44.4	6	28.1
4	153	2.33	44	-50	40	44.1	-47.2	44
3	128	2.33	34	20	-10	32.7	22.8	-1.55
2	100	1.88	-20	-70	40	-22.5	-66.4	44.7
1	96	1.88	40	48	10	39.4	43.9	20.3
