Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
8	273	2.33	36	66	30	36.8	67.9	33.3
7	173	2.33	25	71	30	24.8	73.2	32.2
6	168	2.33	50	66	29	48.7	66.9	33.8
5	119	2.33	41	62	33	42.1	60.4	38.4
4	100	1.88	41	73	51	41.8	74.1	53.6
3	94	1.75	55	64	29	55.5	65.3	31.2
2	83	1.28	43	63	58	43.3	64	60.3
1	71	1.04	51	58	29	50	57.2	32.4
