Cluster ID,1
Center of Mass,"(16, 11, -7)"
Christakou et al-Right Ventromedial and Dorsola..,0
Fujiwara et al-Segregated and Integrated Codi..,0
Greck et al-Is our self based on reward - ..,1
Lawrence et al-Distinct Roles of Prefrontal C..,0
Vassena et al-Dissociating contributions of ..,4
Xue et al-Functional Dissociations of Ri..,1
